signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy,design
half_adder_tb3.t_b,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.7142857142857143,0,3,half_adder_gl3
half_adder_tb3.dut.a,2,0,0.0,5e-05,5e-05,0.625,0,2,half_adder_gl3
half_adder_tb3.dut.b,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.7142857142857143,0,3,half_adder_gl3
half_adder_tb3.dut.carry,4,0,0.0,0.0001142857142857,0.0001142857142857,0.2857142857142857,0,4,half_adder_gl3
half_adder_tb3.dut.sum,5,0,0.0,0.000125,0.000125,0.75,0,5,half_adder_gl3
decoder2x4_tb3.out[3:0],5,0,0.0,0.000125,0.000125,0.125,0,5,decoder2x4_gl3
decoder2x4_tb3.in[1:0],5,0,0.0,0.000125,0.000125,0.25,0,5,decoder2x4_gl3
decoder2x4_tb3.dut.in[1:0],5,0,0.0,0.000125,0.000125,0.25,0,5,decoder2x4_gl3
decoder2x4_tb3.dut.out[3:0],5,0,0.0,0.000125,0.000125,0.125,0,5,decoder2x4_gl3
half_adder_tb.SUM,2,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.6666666666666666,0,2,half_adder_gl
half_adder_tb.CARRY,1,0,0.0,3.3333333333333335e-05,3.3333333333333335e-05,0.0,0,1,half_adder_gl
half_adder_tb.t_a,1,0,0.0,5e-05,5e-05,0.0,0,1,half_adder_gl
half_adder_tb.t_b,3,0,0.0,0.0001,0.0001,0.3333333333333333,0,3,half_adder_gl
half_adder_tb.dut.a,1,0,0.0,5e-05,5e-05,0.0,0,1,half_adder_gl
half_adder_tb.dut.b,3,0,0.0,0.0001,0.0001,0.3333333333333333,0,3,half_adder_gl
half_adder_tb.dut.carry,1,0,0.0,3.3333333333333335e-05,3.3333333333333335e-05,0.0,0,1,half_adder_gl
half_adder_tb.dut.sum,2,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.6666666666666666,0,2,half_adder_gl
tff_tb2.qb,12,0,0.0,0.0003428571428571,0.0003428571428571,0.3142857142857143,0,12,tff_gl2
tff_tb2.q,12,0,0.0,0.0003428571428571,0.0003428571428571,0.6857142857142857,0,12,tff_gl2
tff_tb2.clk,45,0,0.0,0.001,0.001,0.4888888888888889,0,45,tff_gl2
tff_tb2.t,3,0,0.0,8.333333333333333e-05,8.333333333333333e-05,0.6666666666666666,0,3,tff_gl2
tff_tb2.dut._0_,13,0,0.0,0.0003611111111111,0.0003611111111111,0.6666666666666666,0,13,tff_gl2
tff_tb2.dut.clk,45,0,0.0,0.001,0.001,0.4888888888888889,0,45,tff_gl2
tff_tb2.dut.qb,12,0,0.0,0.0003428571428571,0.0003428571428571,0.3142857142857143,0,12,tff_gl2
tff_tb2.dut.t,3,0,0.0,8.333333333333333e-05,8.333333333333333e-05,0.6666666666666666,0,3,tff_gl2
tff_tb2.dut.q,12,0,0.0,0.0003428571428571,0.0003428571428571,0.6857142857142857,0,12,tff_gl2
full_adder_tb3.sum,6,0,0.0,0.0001304347826086,0.0001304347826086,0.5434782608695652,0,6,full_adder_gl3
full_adder_tb3.carry,6,0,0.0,0.0001304347826086,0.0001304347826086,0.6304347826086957,0,6,full_adder_gl3
full_adder_tb3.a,3,0,0.0,9.67741935483871e-05,9.67741935483871e-05,0.1612903225806451,0,3,full_adder_gl3
full_adder_tb3.b,3,0,0.0,7.317073170731707e-05,7.317073170731707e-05,0.8292682926829268,0,3,full_adder_gl3
full_adder_tb3.c,6,0,0.0,0.0001304347826086,0.0001304347826086,0.6304347826086957,0,6,full_adder_gl3
full_adder_tb3.dut.a,3,0,0.0,9.67741935483871e-05,9.67741935483871e-05,0.1612903225806451,0,3,full_adder_gl3
full_adder_tb3.dut.b,3,0,0.0,7.317073170731707e-05,7.317073170731707e-05,0.8292682926829268,0,3,full_adder_gl3
full_adder_tb3.dut.c,6,0,0.0,0.0001304347826086,0.0001304347826086,0.6304347826086957,0,6,full_adder_gl3
full_adder_tb3.dut.carry,6,0,0.0,0.0001304347826086,0.0001304347826086,0.6304347826086957,0,6,full_adder_gl3
full_adder_tb3.dut.w3,4,0,0.0,8.695652173913044e-05,8.695652173913044e-05,0.3043478260869565,0,4,full_adder_gl3
full_adder_tb3.dut.w2,4,0,0.0,9.75609756097561e-05,9.75609756097561e-05,0.3658536585365853,0,4,full_adder_gl3
full_adder_tb3.dut.w1,2,0,0.0,4.878048780487805e-05,4.878048780487805e-05,0.4634146341463415,0,2,full_adder_gl3
full_adder_tb3.dut.sum,6,0,0.0,0.0001304347826086,0.0001304347826086,0.5434782608695652,0,6,full_adder_gl3
full_adder_tb3.dut.ha1.a,3,0,0.0,9.67741935483871e-05,9.67741935483871e-05,0.1612903225806451,0,3,full_adder_gl3
full_adder_tb3.dut.ha1.b,3,0,0.0,7.317073170731707e-05,7.317073170731707e-05,0.8292682926829268,0,3,full_adder_gl3
full_adder_tb3.dut.ha1.carry,4,0,0.0,9.75609756097561e-05,9.75609756097561e-05,0.3658536585365853,0,4,full_adder_gl3
full_adder_tb3.dut.ha1.sum,2,0,0.0,4.878048780487805e-05,4.878048780487805e-05,0.4634146341463415,0,2,full_adder_gl3
full_adder_tb3.dut.ha2.a,2,0,0.0,4.878048780487805e-05,4.878048780487805e-05,0.4634146341463415,0,2,full_adder_gl3
full_adder_tb3.dut.ha2.b,6,0,0.0,0.0001304347826086,0.0001304347826086,0.6304347826086957,0,6,full_adder_gl3
full_adder_tb3.dut.ha2.carry,4,0,0.0,8.695652173913044e-05,8.695652173913044e-05,0.3043478260869565,0,4,full_adder_gl3
full_adder_tb3.dut.ha2.sum,6,0,0.0,0.0001304347826086,0.0001304347826086,0.5434782608695652,0,6,full_adder_gl3
jkff_tb3.qb,8,0,0.0,0.0001904761904761,0.0001904761904761,0.3809523809523809,0,8,jkff_gl3
jkff_tb3.q,8,0,0.0,0.0001904761904761,0.0001904761904761,0.5714285714285714,0,8,jkff_gl3
jkff_tb3.clk,25,0,0.0,0.0005,0.0005,0.48,0,25,jkff_gl3
jkff_tb3.jk[1:0],7,0,0.0,0.000175,0.000175,0.225,0,7,jkff_gl3
jkff_tb3.dut._1_,7,0,0.0,0.000175,0.000175,0.5,0,7,jkff_gl3
jkff_tb3.dut.clk,25,0,0.0,0.0005,0.0005,0.48,0,25,jkff_gl3
jkff_tb3.dut.jk[1:0],7,0,0.0,0.000175,0.000175,0.225,0,7,jkff_gl3
jkff_tb3.dut.qb,8,0,0.0,0.0001904761904761,0.0001904761904761,0.3809523809523809,0,8,jkff_gl3
jkff_tb3.dut._0_,9,0,0.0,0.0002368421052631,0.0002368421052631,0.631578947368421,0,9,jkff_gl3
jkff_tb3.dut.q,8,0,0.0,0.0001904761904761,0.0001904761904761,0.5714285714285714,0,8,jkff_gl3
demux1x4_tb.o2,2,0,0.0,0.0001111111111111,0.0001111111111111,0.3888888888888889,0,2,demux1x4_gl
demux1x4_tb.o0,3,0,0.0,7.5e-05,7.5e-05,0.25,0,3,demux1x4_gl
demux1x4_tb.a[3:0],4,0,0.0,0.0001,0.0001,0.0,0,4,demux1x4_gl
demux1x4_tb.sel[1:0],6,0,0.0,0.00015,0.00015,0.375,0,6,demux1x4_gl
demux1x4_tb.dut._00_,3,0,0.0,7.5e-05,7.5e-05,0.825,0,3,demux1x4_gl
demux1x4_tb.dut._01_,3,0,0.0,7.5e-05,7.5e-05,0.75,0,3,demux1x4_gl
demux1x4_tb.dut._02_,4,0,0.0,0.0001142857142857,0.0001142857142857,0.5714285714285714,0,4,demux1x4_gl
demux1x4_tb.dut._03_,2,0,0.0,7.692307692307693e-05,7.692307692307693e-05,0.6923076923076923,0,2,demux1x4_gl
demux1x4_tb.dut.a[3:0],4,0,0.0,0.0001,0.0001,0.0,0,4,demux1x4_gl
demux1x4_tb.dut.o0,3,0,0.0,7.5e-05,7.5e-05,0.25,0,3,demux1x4_gl
demux1x4_tb.dut.o2,2,0,0.0,0.0001111111111111,0.0001111111111111,0.3888888888888889,0,2,demux1x4_gl
demux1x4_tb.dut.sel[1:0],6,0,0.0,0.00015,0.00015,0.375,0,6,demux1x4_gl
srff_tb.qb,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.3809523809523809,0,4,srff_gl
srff_tb.q,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.3809523809523809,0,4,srff_gl
srff_tb.clk,32,0,0.0,0.0005,0.0005,0.5,0,32,srff_gl
srff_tb.sr[1:0],9,0,0.0,0.0001525423728813,0.0001525423728813,0.1525423728813559,0,9,srff_gl
srff_tb.dut._0_,4,0,0.0,8.163265306122449e-05,8.163265306122449e-05,0.5306122448979592,0,4,srff_gl
srff_tb.dut._1_,6,0,0.0,0.0001224489795918,0.0001224489795918,0.5714285714285714,0,6,srff_gl
srff_tb.dut._2_,6,0,0.0,0.0001224489795918,0.0001224489795918,0.6122448979591837,0,6,srff_gl
srff_tb.dut.clk,32,0,0.0,0.0005,0.0005,0.5,0,32,srff_gl
srff_tb.dut.qb,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.3809523809523809,0,4,srff_gl
srff_tb.dut.sr[1:0],9,0,0.0,0.0001525423728813,0.0001525423728813,0.1525423728813559,0,9,srff_gl
srff_tb.dut.q,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.3809523809523809,0,4,srff_gl
