signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle,design
jkff_tb2.dut.clk,25,0.0005,2e-05,5e-12,0.0005,0.48,jkff_rtl2
jkff_tb2.dut.jk[1:0],8,0.0001739130434782,2.173913043478261e-05,1.7391304347826086e-12,0.0001739130434782,0.4347826086956521,jkff_rtl2
jkff_tb2.dut.q,6,0.0001578947368421,2.631578947368421e-05,1.5789473684210529e-12,0.0001578947368421,0.2105263157894736,jkff_rtl2
jkff_tb2.dut.qb,6,0.0001578947368421,2.631578947368421e-05,1.5789473684210529e-12,0.0001578947368421,0.7368421052631579,jkff_rtl2
jkff_tb3.qb,8,0.0001904761904761,2.380952380952381e-05,1.904761904761905e-12,0.0001904761904761,0.4761904761904761,jkff_rtl3
jkff_tb3.q,8,0.0001904761904761,2.380952380952381e-05,1.904761904761905e-12,0.0001904761904761,0.4761904761904761,jkff_rtl3
jkff_tb3.clk,25,0.0005,2e-05,5e-12,0.0005,0.48,jkff_rtl3
jkff_tb3.jk[1:0],7,0.000175,2.5e-05,1.75e-12,0.000175,0.225,jkff_rtl3
jkff_tb3.dut.clk,25,0.0005,2e-05,5e-12,0.0005,0.48,jkff_rtl3
jkff_tb3.dut.jk[1:0],7,0.000175,2.5e-05,1.75e-12,0.000175,0.225,jkff_rtl3
jkff_tb3.dut.q,8,0.0001904761904761,2.380952380952381e-05,1.904761904761905e-12,0.0001904761904761,0.4761904761904761,jkff_rtl3
jkff_tb3.dut.qb,8,0.0001904761904761,2.380952380952381e-05,1.904761904761905e-12,0.0001904761904761,0.4761904761904761,jkff_rtl3
encoder4x2_tb3.out[1:0],7,0.0001272727272727,1.8181818181818185e-05,1.2727272727272728e-12,0.0001272727272727,0.2,encoder4x2_rtl3
encoder4x2_tb3.d[3:0],8,0.0001454545454545,1.8181818181818185e-05,1.4545454545454545e-12,0.0001454545454545,0.2909090909090909,encoder4x2_rtl3
encoder4x2_tb3.dut.d[3:0],8,0.0001454545454545,1.8181818181818185e-05,1.4545454545454545e-12,0.0001454545454545,0.2909090909090909,encoder4x2_rtl3
encoder4x2_tb3.dut.out[1:0],7,0.0001272727272727,1.8181818181818185e-05,1.2727272727272728e-12,0.0001272727272727,0.2,encoder4x2_rtl3
full_adder_tb.sum,3,0.00015,5e-05,1.5e-12,0.00015,0.75,full_adder_rtl
full_adder_tb.carry,4,0.0002,5e-05,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.a,2,0.0001,5e-05,1e-12,0.0001,0.25,full_adder_rtl
full_adder_tb.b,1,5e-05,5e-05,5e-13,5e-05,1.0,full_adder_rtl
full_adder_tb.c,4,0.0002,5e-05,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.dut.a,2,0.0001,5e-05,1e-12,0.0001,0.25,full_adder_rtl
full_adder_tb.dut.b,1,5e-05,5e-05,5e-13,5e-05,1.0,full_adder_rtl
full_adder_tb.dut.c,4,0.0002,5e-05,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.dut.carry,4,0.0002,5e-05,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.dut.w3,2,0.0002,0.0001,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.dut.w2,2,0.0001,5e-05,1e-12,0.0001,0.25,full_adder_rtl
full_adder_tb.dut.w1,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,1.0,full_adder_rtl
full_adder_tb.dut.sum,3,0.00015,5e-05,1.5e-12,0.00015,0.75,full_adder_rtl
full_adder_tb.dut.ha1.a,2,0.0001,5e-05,1e-12,0.0001,0.25,full_adder_rtl
